Dates;ABI BB Equity;AD NA Equity;ADS GY Equity;AI FP Equity;AIR FP Equity;AMS SQ Equity;ASML NA Equity;BAS GY Equity;BAYN GY Equity;BBVA SQ Equity;BMW GY Equity;BN FP Equity;BNP FP Equity;CRH ID Equity;CS FP Equity;DAI GY Equity;DG FP Equity;DPW GY Equity;DTE GY Equity;EL FP Equity;ENEL IM Equity;ENGI FP Equity;ENI IM Equity;FP FP Equity;FRE GY Equity;GLE FP Equity;IBE SQ Equity;INGA NA Equity;ISP IM Equity;ITX SQ Equity;KER FP Equity;LIN GY Equity;MC FP Equity;MUV2 GY Equity;NOKIA FH Equity;OR FP Equity;ORA FP Equity;PHIA NA Equity;SAF FP Equity;SAN FP Equity;SAN SQ Equity;SAP GY Equity;SIE GY Equity;SU FP Equity;TEF SQ Equity;URW NA Equity;VIV FP Equity;VOW3 GY Equity;SX5E Index
27/02/2019 09:00;65,65;22,87;212,4;109,95;113,32;69,24;162,14;67,25;68,79;5,259;73,67;67,18;43,275;27,6;21,83;53;82,42;26,68;14,455;106,6;5,314;14,065;15,22;49,91;48,5;25,805;7,372;11,338;2,083;26,22;484,2;152,8;303,55;207,1;5,366;222;13,32;35,105;118,4;72,93;4,155;94;97,3;68,64;7,573;143,46;24,23;150,3;3279,78
27/02/2019 09:10;65,69;22,49;212,2;109,9;113,2;69,16;162,32;67,21;67,96;5,231;73,59;67,16;43,045;27,53;21,84;52,82;82,5;26,7;14,485;107,05;5,32;14,065;15,212;49,925;48,53;25,7;7,364;11,3;2,079;26,09;483,9;152,95;303,2;206,8;5,354;221,6;13,36;35,095;118,75;72,95;4,1265;94,27;97,2;68,76;7,558;143,04;24,25;149,8;3275,7
27/02/2019 09:20;65,58;22,44;212;109,75;112,84;69,06;162,48;67,16;68,31;5,245;73,62;66,93;43,215;27,51;21,785;52,84;82,58;26,82;14,475;107,2;5,316;14,025;15,214;49,935;48,38;25,825;7,352;11,298;2,083;26,11;484;152,35;302,95;206,7;5,348;220,9;13,38;35,045;118,8;73,05;4,1285;93,95;97,04;68,9;7,552;143;24,14;150,3;3273,88
27/02/2019 09:30;65,74;22,545;211,9;109,9;112,98;69,28;162,66;67,08;68,74;5,244;73,78;67,01;43,27;27,52;21,84;52,94;82,74;26,82;14,465;107,55;5,316;14,005;15,2;49,945;48,32;25,815;7,354;11,304;2,0855;25,97;483,9;152,25;302,6;206,9;5,37;221,8;13,36;35,13;118,8;73,09;4,131;94,05;97,43;69;7,552;143,1;24,27;150,64;3277,38
27/02/2019 09:40;65,64;22,41;211,9;109,9;113,1;69,2;162,28;66,85;68,57;5,226;73,65;66,94;43,045;27,52;21,795;52,75;82,62;26,73;14,45;107,8;5,318;13,995;15,19;49,9;48,24;25,64;7,36;11,24;2,0795;25,98;483,9;152,4;302,6;206,5;5,358;222,1;13,37;35,055;119,75;73,01;4,105;93,95;97,02;68,68;7,546;142,82;24,25;150,4;3272,65
27/02/2019 09:50;65,6;22,36;212,1;110;113,06;69,08;162,06;66,8;69,01;5,232;73,68;66,83;43,145;27,42;21,78;52,72;82,6;26,75;14,44;107,6;5,312;13,96;15,174;49,85;48,19;25,735;7,358;11,24;2,08;25,98;482,7;152,3;302,4;206,6;5,358;222,1;13,36;35,01;119,9;72,96;4,1095;93,92;96,88;68,48;7,538;142,94;24,26;150,48;3271,9
27/02/2019 10:00;65,54;22,42;211,9;109,95;112,84;69,02;162,06;66,74;69;5,243;73,82;66,72;43,25;27,46;21,775;52,83;82,62;26,77;14,485;107,6;5,316;13,95;15,184;49,86;48,22;25,835;7,358;11,264;2,085;26,06;481,9;152,25;301,85;206,5;5,348;221,6;13,395;35,025;119,55;73,04;4,12;93,9;96,84;68,46;7,551;143,08;24,28;150,52;3272,18
27/02/2019 10:10;65,61;22,295;212;110,1;113,04;69,08;162,42;66,73;68,86;5,232;73,93;66,67;43,23;27,46;21,79;52,87;82,66;26,83;14,48;107,55;5,32;13,975;15,212;49,925;48,2;25,825;7,374;11,258;2,085;26,01;483;152;302,35;206,4;5,354;221,7;13,385;34,97;119,7;73,04;4,119;93,94;96,82;68,56;7,542;143,08;24,28;150,48;3273,04
27/02/2019 10:20;65,61;22,46;212,7;110,2;113,34;69,16;162,6;66,77;69,44;5,241;73,99;66,68;43,25;27,52;21,82;52,85;82,72;26,89;14,455;107,85;5,32;13,985;15,23;50;48,36;25,845;7,38;11,274;2,085;26,01;484,1;152,1;303,2;206,7;5,362;221,8;13,36;35,03;120,1;73,17;4,125;94,03;96,85;68,56;7,538;143,06;24,26;150,62;3276,87
27/02/2019 10:30;65,59;22,44;212,4;110,05;113,36;68,82;162,32;66,49;69,52;5,237;73,85;66,66;43,2;27,48;21,805;52,76;82,64;26,78;14,415;107,65;5,32;13,97;15,212;49,99;48,28;25,805;7,384;11,256;2,085;25,99;483,3;151,7;302,75;206,2;5,352;222;13,34;34,93;120,25;73,01;4,1165;93,74;96,52;68,5;7,517;142,86;24,28;150,28;3272,29
27/02/2019 10:40;65,55;22,46;212,6;110,05;113,12;68,98;162,4;66,58;69,41;5,238;73,82;66,66;43,22;27,51;21,83;52,7;82,8;26,78;14,425;107,7;5,322;13,975;15,212;50,02;48,36;25,805;7,394;11,264;2,0845;26,03;484,2;151,65;303,1;206,5;5,35;222;13,35;34,89;119,8;73,04;4,11;93,86;96,54;68,46;7,522;142,94;24,3;150,14;3272,94
27/02/2019 10:50;65,53;22,42;212,5;110,15;113,12;69,02;162,44;66,48;69,52;5,231;73,85;66,58;43,24;27,45;21,81;52,7;82,9;26,76;14,43;107,8;5,322;13,955;15,204;49,965;48,33;25,81;7,37;11,254;2,0835;25,97;484,1;151,65;302,95;206,3;5,35;221,9;13,355;34,915;119,95;73;4,096;93,8;96,72;68,44;7,517;142,84;24,33;150,08;3271,91
27/02/2019 11:00;65,53;22,51;212,6;110,1;112,96;69,04;162,32;66,52;69,38;5,239;73,85;66,53;43,28;27,44;21,83;52,7;82,92;26,78;14,445;107,8;5,326;13,935;15,228;50;48,31;25,865;7,366;11,258;2,084;26,04;484,3;151,7;303;206,4;5,35;221,6;13,35;34,905;119,7;73,01;4,102;93,8;96,58;68,4;7,525;142,88;24,3;150,16;3272
27/02/2019 11:10;65,71;22,57;212,7;110,1;113,02;69,04;162,32;66,68;69,22;5,242;73,86;66,52;43,34;27,47;21,84;52,72;82,9;26,81;14,47;108;5,326;13,935;15,236;50;48,35;25,89;7,37;11,284;2,0885;26,04;484,2;151,85;302,6;206,8;5,35;221,7;13,365;34,9;119,85;73,07;4,1105;93,76;96,65;68,4;7,535;142,88;24,32;150,3;3274,14
27/02/2019 11:20;65,52;22,545;212,7;110,1;113,02;69,04;162,36;66,62;69,32;5,242;73,8;66,48;43,345;27,46;21,84;52,79;82,94;26,8;14,455;108;5,32;13,95;15,218;49,97;48,36;25,865;7,366;11,278;2,092;26,01;484,5;151,55;303,1;206,5;5,348;221,7;13,355;34,875;119,9;72,99;4,1155;93,74;96,56;68,4;7,521;142,64;24,28;150,18;3273,16
27/02/2019 11:30;65,57;22,63;212,7;110;112,96;69,04;162,34;66,64;69,44;5,25;73,82;66,54;43,395;27,45;21,84;52,74;82,92;26,79;14,465;107,9;5,322;13,94;15,218;49,97;48,28;25,88;7,358;11,304;2,0915;26,03;483,9;151,85;303;206,6;5,35;221,7;13,365;34,855;119,65;73,03;4,1145;93,84;96,59;68,38;7,524;142,88;24,32;150,28;3274,06
27/02/2019 11:40;65,62;22,645;212,8;110,05;112,86;69,08;162,42;66,77;69,57;5,259;73,96;66,6;43,545;27,48;21,865;52,85;82,98;26,89;14,465;107,9;5,32;13,93;15,216;49,995;48,37;25,96;7,366;11,322;2,0915;26,07;483,7;151,7;303,15;206,5;5,352;221,7;13,355;34,905;119,65;73,04;4,116;93,82;96,67;68,46;7,523;142,94;24,34;150,56;3275,98
27/02/2019 11:50;65,68;22,64;212,7;110,05;112,98;69,06;162,4;66,82;69,62;5,26;74,02;66,7;43,5;27,5;21,85;52,87;83,1;26,89;14,48;107,9;5,324;13,91;15,202;49,995;48,33;26,01;7,364;11,326;2,0935;26,07;483,1;151,65;302,7;206,5;5,356;221,5;13,365;34,895;119,8;73,09;4,1195;93,84;96,72;68,42;7,537;143;24,33;150,42;3276,51
27/02/2019 12:00;65,63;22,65;212,8;109,95;113,12;69,1;162,36;66,87;69,54;5,265;74,01;66,59;43,505;27,46;21,85;52,8;82,96;26,85;14,485;107,9;5,324;13,915;15,21;50,01;48,31;26,015;7,372;11,33;2,098;26,05;483,3;151,75;303,05;206,4;5,364;221,3;13,375;34,895;120,2;73,07;4,123;93,88;96,82;68,42;7,554;143;24,32;150,44;3277,05
27/02/2019 12:10;65,67;22,67;212,7;109,9;113,02;69;162,14;66,91;69,64;5,265;74,01;66,66;43,585;27,46;21,89;52,82;82,9;26,86;14,49;107,9;5,32;13,9;15,21;50;48,26;26,065;7,368;11,336;2,1025;26,03;482,6;151,95;302,75;206,7;5,36;221,3;13,39;34,86;120,2;73,08;4,1225;93,82;96,92;68,4;7,557;143,08;24,37;150,38;3277,52
